"np","nRateCat","lnLik","AIC","dAIC","AICwt"
4,1,-42.7569406972063,93.5138813944125,5.59242873724602,0.00840730148209647
7,1,-42.823622377955,99.64724475591,11.7257920987435,0.000391573857628825
3,1,-42.7914017875122,91.5828035750244,3.66135091785792,0.0220792766851142
2,1,-43.0552791127235,90.1105582254469,2.18910556828044,0.0460976575724734
3,1,-43.5705873974972,93.1411747949945,5.21972213782797,0.010129519178809
2,1,-43.2317851232222,90.4635702464444,2.54211758927791,0.0386387680601965
24,2,-40.3607853363118,128.721570672624,40.8001180154571,1.90284772021311e-10
23,2,-40.5058533371208,127.011706674242,39.090254017075,4.47400313326764e-10
22,2,-41.6204113290058,127.240822658012,39.3193700008451,3.98973802763014e-10
6,2,-40.8399145547571,93.6798291095143,5.75837645234779,0.0077378718483499
17,2,-40.8407574280202,115.68151485604,27.7600621988739,1.29126737009244e-07
14,2,-40.8399798451676,109.679959690335,21.7585070331687,2.59559735147148e-06
4,2,-41.1810665288949,90.3621330577898,2.44068040062334,0.0406490197236324
3,2,-41.2574995196608,88.5149990393217,0.593546382155168,0.102364679863462
12,2,-40.6739535234637,105.347907046927,17.4264543897609,2.26428245556112e-05
12,2,-40.6739605262524,105.347921052505,17.4264683953382,2.26426659932508e-05
6,2,-40.5045659731349,93.0091319462698,5.08767928910328,0.0108208548462808
8,2,-40.9486691923021,97.8973383846041,9.97588572743763,0.000939292879417033
6,2,-40.9486630479249,93.8973260958499,5.97587343868338,0.00694053042444392
5,2,-41.1892510258951,92.3785020517903,4.45704939462379,0.0148320476825765
3,2,-41.5337333809009,89.0674667618018,1.14601410463534,0.0776574795354126
11,2,-40.8399231328875,103.679846265775,15.7583936086085,5.21369231606553e-05
9,2,-40.839916896221,99.679833792442,11.7583811352755,0.000385245052697139
7,2,-40.8399144999779,95.6798289999557,7.75837634278923,0.00284660412736211
4,2,-42.0520887169244,92.1041774338488,4.18272477668232,0.0170125708513608
3,2,-42.1920716615942,90.3841433231885,2.46269066602197,0.0402041244235898
3,2,-41.9359460276369,89.8718920552739,1.95043939810738,0.0519403124557035
5,2,-40.8399187278701,91.6798374557401,3.75838479857362,0.0210336286604238
3,2,-41.1756146068769,88.3512292137537,0.429776556587242,0.111099549605481
3,2,-42.565080489762,91.130160979524,3.20870832235754,0.0276869382814434
2,2,-43.1143379544177,90.2286759088354,2.30722325166887,0.0434540168526567
3,2,-41.3008810924095,88.601762184819,0.68030952765254,0.0980188843100936
3,2,-42.7790139677289,91.5580279354578,3.63657527829135,0.0223544919245374
3,2,-43.3810542286167,92.7621084572334,4.84065580006691,0.0122434000569638
4,2,-41.6202245179009,91.2404490358017,3.3189963786352,0.0262015018503683
2,2,-41.9607263285832,87.9214526571665,0,0.137732709732968
