"include","ntips","type","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median","rmse.mean","rmse.varriance","rmse.median"
"all",100,"er",-1.78822070,15.32462014,-0.13670535,-0.017557356, 0.316256037,-0.008754368,-1.770663347,14.701666502,-0.101423910, 4.2233260,35.6784436, 1.0979509
"all",250,"er",-1.12249069, 9.42218250,-0.05642064,-0.017557356, 0.316256037,-0.008754368,-1.104933332, 8.768836015,-0.030029458, 3.1606100,24.6711640, 0.5741664
"all",500,"er",-0.58354891, 4.85507079,-0.02904595,-0.017557356, 0.316256037,-0.008754368,-0.565991557, 4.293556073,-0.006668671, 2.1479703,15.5611580, 0.3601189
"all",100,"l0",-1.79185270,15.29482223,-0.14220345,-0.017557356, 0.316256037,-0.008754368,-1.774295347,14.680884647,-0.103593566, 4.2223899,35.6280262, 1.0981286
"all",250,"l0",-1.09676848, 9.18670642,-0.05494658,-0.017557356, 0.316256037,-0.008754368,-1.079211127, 8.537496438,-0.029184112, 3.1147941,24.1552922, 0.5718229
"all",500,"l0",-0.58781790, 4.95013692,-0.02953471,-0.017557356, 0.316256037,-0.008754368,-0.570260540, 4.380210167,-0.007547035, 2.1691654,16.0413541, 0.3597345
"all",100,"l1",-2.52475701,17.46399345,-0.42583176,-0.017557356, 0.316256037,-0.008754368,-2.507199658,16.902392339,-0.379573338, 4.8153863,43.5033812, 0.9194597
"all",250,"l1",-1.32788955, 9.92696032,-0.15300730,-0.017557356, 0.316256037,-0.008754368,-1.310332189, 9.304917475,-0.120365277, 3.3198817,27.1653177, 0.5344023
"all",500,"l1",-0.66827782, 5.18622094,-0.06907887,-0.017557356, 0.316256037,-0.008754368,-0.650720462, 4.619740946,-0.044489761, 2.2456719,17.2927457, 0.3464100
"all",100,"l2",-2.82643592,16.43252191,-0.69505965,-0.017557356, 0.316256037,-0.008754368,-2.808878562,16.052423766,-0.676818221, 4.8930308,44.8496974, 0.8155712
"all",250,"l2",-1.62747156,10.03583035,-0.33807514,-0.017557356, 0.316256037,-0.008754368,-1.609914202, 9.507760377,-0.317601438, 3.4784055,28.7978013, 0.4864131
"all",500,"l2",-0.87955318, 5.57011646,-0.19350129,-0.017557356, 0.316256037,-0.008754368,-0.861995823, 5.073876157,-0.173651319, 2.4117968,19.3535585, 0.3303763
"<50",100,"er",-1.78822070,15.32462014,-0.13670535,-0.017557356, 0.316256037,-0.008754368,-1.770663347,14.701666502,-0.101423910, 4.2233260,35.6784436, 1.0979509
"<50",250,"er",-1.12249069, 9.42218250,-0.05642064,-0.017557356, 0.316256037,-0.008754368,-1.104933332, 8.768836015,-0.030029458, 3.1606100,24.6711640, 0.5741664
"<50",500,"er",-0.58354891, 4.85507079,-0.02904595,-0.017557356, 0.316256037,-0.008754368,-0.565991557, 4.293556073,-0.006668671, 2.1479703,15.5611580, 0.3601189
"<50",100,"l0",-1.79185270,15.29482223,-0.14220345,-0.017557356, 0.316256037,-0.008754368,-1.774295347,14.680884647,-0.103593566, 4.2223899,35.6280262, 1.0981286
"<50",250,"l0",-1.09676848, 9.18670642,-0.05494658,-0.017557356, 0.316256037,-0.008754368,-1.079211127, 8.537496438,-0.029184112, 3.1147941,24.1552922, 0.5718229
"<50",500,"l0",-0.58781790, 4.95013692,-0.02953471,-0.017557356, 0.316256037,-0.008754368,-0.570260540, 4.380210167,-0.007547035, 2.1691654,16.0413541, 0.3597345
"<50",100,"l1",-2.52475701,17.46399345,-0.42583176,-0.017557356, 0.316256037,-0.008754368,-2.507199658,16.902392339,-0.379573338, 4.8153863,43.5033812, 0.9194597
"<50",250,"l1",-1.32788955, 9.92696032,-0.15300730,-0.017557356, 0.316256037,-0.008754368,-1.310332189, 9.304917475,-0.120365277, 3.3198817,27.1653177, 0.5344023
"<50",500,"l1",-0.66827782, 5.18622094,-0.06907887,-0.017557356, 0.316256037,-0.008754368,-0.650720462, 4.619740946,-0.044489761, 2.2456719,17.2927457, 0.3464100
"<50",100,"l2",-2.82643592,16.43252191,-0.69505965,-0.017557356, 0.316256037,-0.008754368,-2.808878562,16.052423766,-0.676818221, 4.8930308,44.8496974, 0.8155712
"<50",250,"l2",-1.62747156,10.03583035,-0.33807514,-0.017557356, 0.316256037,-0.008754368,-1.609914202, 9.507760377,-0.317601438, 3.4784055,28.7978013, 0.4864131
"<50",500,"l2",-0.87955318, 5.57011646,-0.19350129,-0.017557356, 0.316256037,-0.008754368,-0.861995823, 5.073876157,-0.173651319, 2.4117968,19.3535585, 0.3303763
"<10",100,"er",-1.78822070,15.32462014,-0.13670535,-0.017557356, 0.316256037,-0.008754368,-1.770663347,14.701666502,-0.101423910, 4.2233260,35.6784436, 1.0979509
"<10",250,"er",-1.12249069, 9.42218250,-0.05642064,-0.017557356, 0.316256037,-0.008754368,-1.104933332, 8.768836015,-0.030029458, 3.1606100,24.6711640, 0.5741664
"<10",500,"er",-0.58354891, 4.85507079,-0.02904595,-0.017557356, 0.316256037,-0.008754368,-0.565991557, 4.293556073,-0.006668671, 2.1479703,15.5611580, 0.3601189
"<10",100,"l0",-1.79185270,15.29482223,-0.14220345,-0.017557356, 0.316256037,-0.008754368,-1.774295347,14.680884647,-0.103593566, 4.2223899,35.6280262, 1.0981286
"<10",250,"l0",-1.09676848, 9.18670642,-0.05494658,-0.017557356, 0.316256037,-0.008754368,-1.079211127, 8.537496438,-0.029184112, 3.1147941,24.1552922, 0.5718229
"<10",500,"l0",-0.58781790, 4.95013692,-0.02953471,-0.017557356, 0.316256037,-0.008754368,-0.570260540, 4.380210167,-0.007547035, 2.1691654,16.0413541, 0.3597345
"<10",100,"l1",-2.52475701,17.46399345,-0.42583176,-0.017557356, 0.316256037,-0.008754368,-2.507199658,16.902392339,-0.379573338, 4.8153863,43.5033812, 0.9194597
"<10",250,"l1",-1.32788955, 9.92696032,-0.15300730,-0.017557356, 0.316256037,-0.008754368,-1.310332189, 9.304917475,-0.120365277, 3.3198817,27.1653177, 0.5344023
"<10",500,"l1",-0.66827782, 5.18622094,-0.06907887,-0.017557356, 0.316256037,-0.008754368,-0.650720462, 4.619740946,-0.044489761, 2.2456719,17.2927457, 0.3464100
"<10",100,"l2",-2.82643592,16.43252191,-0.69505965,-0.017557356, 0.316256037,-0.008754368,-2.808878562,16.052423766,-0.676818221, 4.8930308,44.8496974, 0.8155712
"<10",250,"l2",-1.62747156,10.03583035,-0.33807514,-0.017557356, 0.316256037,-0.008754368,-1.609914202, 9.507760377,-0.317601438, 3.4784055,28.7978013, 0.4864131
"<10",500,"l2",-0.87955318, 5.57011646,-0.19350129,-0.017557356, 0.316256037,-0.008754368,-0.861995823, 5.073876157,-0.173651319, 2.4117968,19.3535585, 0.3303763
