"ntips","type","par","bias","var","mse","rmse"
100,"reg-l1","(1)_(2)",-0.544669047931469,0.419455862152603,0.715700778065023,0.845991003536694
100,"reg-l1","(2)_(1)",-0.456903815512881,0.202191191555522,0.410750096994195,0.640897883437132
100,"reg-l2","(1)_(2)",-0.767722196572493,0.54006004343333,1.12891735449999,1.0625052256342
100,"reg-l2","(2)_(1)",-0.664527315940758,0.263683814285619,0.705016684102761,0.839652716367166
100,"reg-logexp","(1)_(2)",-0.544666394419931,0.419455346734019,0.715697372597693,0.845988990825349
100,"reg-logexp","(2)_(1)",-0.456900306426742,0.202187221290939,0.410742924082499,0.640892287426288
100,"reg-logl1","(1)_(2)",-0.333855539866736,0.306856619983666,0.418009284863392,0.646536375514474
100,"reg-logl1","(2)_(1)",-0.269000257353736,0.16615956450491,0.238354543396782,0.488215673034758
100,"unreg","(1)_(2)",0.680590761915318,19.5678872391486,20.0115231371139,4.47342409537861
100,"unreg","(2)_(1)",0.54182022861166,15.7082761532351,15.9861370372147,3.99826675413418
250,"reg-l1","(1)_(2)",-0.417932928401736,0.329806937102588,0.504145062807935,0.710031733662613
250,"reg-l1","(2)_(1)",-0.336361430727843,0.149389950134019,0.262379572265166,0.512229999380324
250,"reg-l2","(1)_(2)",-0.64544664579479,0.467981149363853,0.884114540782234,0.940273652072754
250,"reg-l2","(2)_(1)",-0.548347020410766,0.220211120769301,0.520675364441897,0.721578384128777
250,"reg-logexp","(1)_(2)",-0.417932180926766,0.32980106801056,0.504138574796753,0.710027164830158
250,"reg-logexp","(2)_(1)",-0.336360549047021,0.149389948825724,0.262378977832112,0.51222941913962
250,"reg-logl1","(1)_(2)",-0.202206752879509,0.193433385854586,0.234127523378806,0.483867258014847
250,"reg-logl1","(2)_(1)",-0.153166529814098,0.112615514976479,0.135962885316795,0.368731454200473
250,"unreg","(1)_(2)",0.318488629720709,7.91364474014341,8.00716610266464,2.82969364113231
250,"unreg","(2)_(1)",0.143059947328289,0.391866840286455,0.411941121975742,0.641826395511856
500,"reg-l1","(1)_(2)",-0.320648109717385,0.249936991090749,0.35250226436499,0.59371901128816
500,"reg-l1","(2)_(1)",-0.252940736330979,0.106736613073635,0.170608892556219,0.413048293249372
500,"reg-l2","(1)_(2)",-0.550564655688415,0.41122478590212,0.713935001209521,0.844946744599635
500,"reg-l2","(2)_(1)",-0.463500338806599,0.186039128620902,0.400685653566113,0.632997356681774
500,"reg-logexp","(1)_(2)",-0.320652597098226,0.249929453973772,0.352497612545636,0.593715093749212
500,"reg-logexp","(2)_(1)",-0.252944037230866,0.106735176018338,0.170609126812969,0.413048576819929
500,"reg-logl1","(1)_(2)",-0.119892141637376,0.106984171905074,0.121251313359565,0.348211592798927
500,"reg-logl1","(2)_(1)",-0.0885034125353546,0.0689902402817833,0.0767541040719046,0.277045310503363
500,"unreg","(1)_(2)",0.17373587453055,9.58145833332401,9.60206102908958,3.09871925625565
500,"unreg","(2)_(1)",0.145960749675592,7.22365377203216,7.23773465870599,2.69030382275051
